"","Region","Dataset","TSid","Archive","Category","Proxy","Season","Interp","Direction","PublicationDOI","SourceURL","AgeRange","Resolution","AgeControlN","AgeControlMax","Lat","Lon"
"186","ENA","PyeLake.Mott.2009","lcR5p1vTbyYhjbhn154","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1139/E09-034","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",230,"7","2540",44.98,-62.09
"187","ENA","RiceLake.McAndrews.1994","lcRaqtkYUpcVFmXJnVU","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1139/b69-243","https://doi.pangaea.de/10.1594/PANGAEA.930512","5.6 - 0",110,"3","2100",44.2,-78.14
"188","ENA","RidgeandSlough0205215.Bernhardt.2009","lcRtm2nqesiKFqeqhXe","Peat","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1890/08-0779.1","https://doi.pangaea.de/10.1594/PANGAEA.930512","4.1 - 0",40,"3","1860",25.83,-80.77
"189","ENA","Rogers.Marsicek.2013","GH6d568132","LakeSediment","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/j.quascirev.2013.09.001","https://www.ncei.noaa.gov/access/paleo-search/study/23072","11 - 0",50,"Not Available","Not Available",41.21,-72.17
"190","ENA","RogersLake.Davis.1967","lcRqQrMGXooyrseV4cP","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/0034-6667(67)90150-9","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",160,"37","820",41.35,-72.3
"191","ENA","RyderPondCapeCodMassachusetts.Winkler.1995","pdRtkSoE1Q93x2JFV5i","LakeSediment","Shoreline (Lake Level)","lakeLevel","Annual","P-E","positive","Winkler and Sanford (1995)","https://www.ncei.noaa.gov/access/paleo-search/study/28771","11.6 - 0",500,"Shoreline Dates","Not Available",41.97,-70.03
"192","ENA","RyerseLake.author.1111","lcRiq1prtqFDpKinLF2","Lake","Pollen (calibrated)","pollen","Annual","P","positive","noPubOnRecord","https://doi.pangaea.de/10.1594/PANGAEA.930512","10 - 0",350,"6","2690",46.13,-85.18
"193","ENA","SchoodicPeninsulaHollow.Schauffler.1998","lcRKhWUhucbIA6KVzZ9","Cave","Pollen (calibrated)","pollen","Annual","P","positive","Schauffler, M., 1998. Paleoecology of coastal and interior Picea (spruce) stands in Maine. Doctoral dissertation. University of Maine, Orono, Maine, USA.","https://doi.pangaea.de/10.1594/PANGAEA.930512","8.2 - 0.1",170,"5","3340",44.37,-68.07
"194","ENA","SouthRhodyBog.Booth.2012","GH277c77ee","Peat","Other (not calibrated)","amoeba","Summer","P-E","negative","https://doi.org/10.1890/11-1068.1","https://www.ncei.noaa.gov/access/paleo-search/study/23086","5.2 - 0",26,"10","3340",46.56,-86.07
"195","ENA","SouthRhodypeatland.Booth.2004","lcRwZudUZlMj01vQXF2","Peat","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/j.yqres.2003.07.013","https://doi.pangaea.de/10.1594/PANGAEA.930512","10.4 - 0",80,"10","3600",46.57,-86.08
"196","ENA","SpicerLake.Wang.2016","lcRwnVuzjxKgcJQwS8I","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1177/0959683615612586","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",90,"8","3670",41.76,-86.52
"197","ENA","SpiritLake.Woods.1989","lcR1KT6GyUTH14Ybu8w","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.2307/1940219","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",195,"6","2990",46.47,-86.96
"198","ENA","SprucePond.MaenzaGmelch.1997","lcRgKkHN0CyyYoGbYOA","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1177/095968369700700103","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0.1",70,"8","2450",41.24,-74.18
"199","ENA","StagesPond.Snyder.1991","lcRzbcPN2Y2gyo9iwZ9","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Snyder, G.G., Shane, L.C.K. and Kapp, R.O., 1991. Palynological Studies associated with the Mound City Group National Monument, Chillicothe, Ohio. Final Report to the National Park Service.","https://doi.pangaea.de/10.1594/PANGAEA.930512","4.3 - 0.1",80,"4","2340",39.67,-82.94
"200","ENA","TourbiereCaribou.Richard.1977","lcRK61Zqovd5AsakNEX","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Richard, P.J.H., 1977. Histoire post-wisconsinienne de la vegetation du Quebec meridional par l'analyse pollinique. Service de la recherche, Direction generale des forets, Ministere des Terres et Forets du Quebec (in French).","https://doi.pangaea.de/10.1594/PANGAEA.930512","6.6 - 2.4",290,"2","2880",47.64,-71.24
"201","ENA","TourbieredeLanoraieCOTEAUJAUNE.Comtois.1982","lcR1A1e4eCK8RCZbrM1","Peat","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1139/e82-172","https://doi.pangaea.de/10.1594/PANGAEA.930512","9 - 0.8",260,"5","3230",45.96,-73.34
"202","ENA","TourbieredeLanoraieSTJEAN.Comtois.1979","lcROauZ0E6EMlpLEs8f","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Comtois, P.G., 1979. Histoire holocene du climat et de la vegetation a Lanoraie. Master's thesis. Universite de Montreal, Quebec, Canada.","https://doi.pangaea.de/10.1594/PANGAEA.930512","5.9 - 0",95,"4","2330",46,-73.22
"203","ENA","UncleSethsPond.Oswald.2018","lcRNlfrkkQn5Ce0M7QR","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1111/jbi.13407","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",215,"7","2780",41.43,-70.66
"204","ENA","Washburn.Winkler.1985c","OLS_RXKCFWVRanL","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",43.53,-89.65
"205","ENA","WaterConservationArea3BGumboLimboFarTail.Willard.2001","lcRCCeOBvoY6ibTb3Lr","Marsh","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/S0034-6667(00)00042-7","https://doi.pangaea.de/10.1594/PANGAEA.930512","5 - 0",350,"4","2410",25.77,-80.51
"206","ENA","WestSidePond.Oswald.2018","lcRT2tIa25Tm8EVwMwr","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1016/j.palaeo.2005.05.003","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.8 - 0",240,"11","1770",41.85,-73.26
"207","ENA","White.Watts.1980a","OLS_R4QPDsP0JVX","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",34.16,-80.76
"208","ENA","WinneconnetPond.Suter.1985","lcRqcv7HT215BsuiBp5","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Suter, S.M., 1985. Late-glacial and Holocene vegetation history in southeastern Massachusetts: a 14,000 year pollen record. Current Research in the Pleistocene, 2, pp.87-89.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",210,"9","2920",41.97,-71.12
"209","ENA","Wintergreen.Manny.1978","OLS_RzEmio4JrEJ","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",42.4,-85.38
"210","EPO","ElJunco.Colinvaux.1972","OLS_RGysUHCqwty","LakeDeposits","Shoreline (Lake Level)","lakeLevel","Annual","P-E","negative","Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.","ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/","12 - 0.5",1174,"Shoreline Dates","Not Available",-0.87,-89.45
"211","EPO","ElJunco.Zhang.2014","LS14ZHJU01A","LakeSediment","Leaf Wax (δD)","dDwax","Annual","P","negative","https://doi.org/10.1016/j.epsl.2014.07.013","https://doi.org/10.1016/j.epsl.2014.07.013","9.1 - 0",61,"20","1119",-0.9,-89.48
"212","EPO","TLakePalau.Sachs.2018","WEB1f2d5fc5","LakeSediment","Leaf Wax (δD)","dDwax","Annual","P","negative","https://doi.org/10..1029/2018PA003469","https://www.ncdc.noaa.gov/paleo/study/28650","10.4 - 0.2",178,"13","2212",7.3,134.44
"213","ESAF","CESRZ_PWetQ.Chevalier.2017","pRAINCyEKVBKyz8PbI","LakeSediment","Pollen (calibrated)","pollen","Summer","P","positive","https://doi.org/10.1016/j.quascirev.2015.07.009","https://doi.org/10.1016/j.quascirev.2015.07.009","12 - 0",100,"Not Available","Not Available",-28.53,28.87
"214","ESAF","GeoB20610-2.Miller.2020","WEB8ffb0dbb","MarineSediment","Leaf Wax (δD)","dDwax","Annual","P","negative","https://doi.org/10..1016/j.quascirev.2019.106088","https://doi.org/10.1016/j.quascirev.2019.106089","6.6 - 0",74,"11","2356",-25.04,34.73
"215","ESAF","GeoB9307_3.Weldeab.2014","WEBf23684ea","MarineSediment","Leaf Wax (δD)","dDwax","Annual","P","negative","https://doi.org/10.1016/j.palaeo.2014.06.001","http://dx.doi.org/10.1594/PANGAEA.771395","12 - 0.3",73,"15","2620",-18.57,37.38
"216","ESAF","LakeMuzi.Humphries.2019","WEBfb1da3c4","LakeSediment","Other (not calibrated)","Ca/K","Annual","P-E","negative","https://doi.org/10.1016/j.quascirev.2019.04.006","https://data.mendeley.com/datasets/sjz3xhkkk8/1","5.6 - 0",15,"8","1290",-27.6,32.41
"217","ESAF","LakeMuzi.Humphries.2019","WEB039f5197","LakeSediment","Other (not calibrated)","Rb/Sr","Annual","P","positive","https://doi.org/10.1016/j.quascirev.2019.04.006","https://data.mendeley.com/datasets/sjz3xhkkk8/1","5.6 - 0",15,"8","1290",-27.6,32.41
"218","ESAF","Wonderkrater.Truc.2013","WEBd3eaa693","Peat","Pollen (not calibrated)","pollen","Annual","P-E","positive","https://doi.org/10.1016/j.palaeo.2013.06.024","https://www.ncdc.noaa.gov/paleo/study/13155","12 - 0.3",274,"12","2360",-24.44,28.75
"219","ESB","AchitNuur.Sun.2013","lcRHKtvc1HMQRltXv6E","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Sun, A., Feng, Z., Ran, M. and Zhang, C., 2013. Pollen-recorded bioclimatic variations of the last1/2 22,600 years retrieved from Achit Nuur core in the western Mongolian Plateau. Quaternary International, 311, pp.36-43.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",140,"10","2400",51.58,104.85
"220","ESB","Baikal.Swann.2018","WEB2b09ab9c","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P","positive","https://doi.org/10..1016/j.quascirev.2018.04.013","https://doi.pangaea.de/10.1594/PANGAEA.889761","10 - 0",270,"Not Available","Not Available",51.58,104.85
"221","ESB","BayanNuur.Chen.2008","LPDb7ac9881","LakeSediment","Other (not calibrated)","hybrid","Annual","P-E","positive","https://doi.org/10.1016/j.quascirev.2007.10.017","https://doi.org/10.25921/bnxb-1n90","11 - 0",50,"Not Available","Not Available",50,94.02
"222","ESB","GunNuur.Chen.2008","GHa7a4074f","LakeSediment","Other (not calibrated)","hybrid","Annual","P-E","positive","https://doi.org/10.1016/j.quascirev.2007.10.017","https://doi.org/10.25921/bnxb-1n90","9.2 - 0",50,"Not Available","Not Available",50.25,106.6
"223","ESB","Hovsgol.Chen.2008","GHae9e3b57","LakeSediment","Other (not calibrated)","hybrid","Annual","P-E","positive","https://doi.org/10.1016/j.quascirev.2007.10.017","https://doi.org/10.25921/bnxb-1n90","11 - 0",50,"Not Available","Not Available",51,101.2
"224","ESB","HulunLake.Wen.2009","LPDc4757948","LakeSediment","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1111/j.1502-3885.2009.00125.x","https://www.ncei.noaa.gov/access/paleo-search/study/30932","11 - 0",73,"13","1767",49.13,117.5
"225","ESB","Telmen.Chen.2008","GH16221a19","LakeSediment","Other (not calibrated)","hybrid","Annual","P-E","positive","https://doi.org/10.1016/j.quascirev.2007.10.017","https://doi.org/10.25921/bnxb-1n90","11 - 0",50,"Not Available","Not Available",48.83,97.33
"226","GIC","Alley.GISP2.2000","WEB-ef183-b6de-44d7-8b46-61a47","GlacierIce","Glacier Ice (Accumulation)","Ice Accumulation","Annual","P","positive","https://doi.org/10.1016/S0277-3791(99)00062-1","www.ncdc.noaa.gov/paleo/study/2475","12 - 0.1",29,"Layer Counting","Not Available",72.6,-38.5
"227","GIC","FlowerValley.Balascio.2013","GH2d478757dp","LakeSediment","Leaf Wax (δD)","dDwax","Summer","P-E","negative","https://doi.org/10.1177/0959683613493938","https://www.ncei.noaa.gov/access/paleo-search/study/14513","8.6 - 0.3",313,"Not Available","Not Available",65.61,-37.69
"228","GIC","GRIP_accumulation.Vinther.2006","GHd57f7596","GlacierIce","Glacier Ice (Accumulation)","ice accumulation","Annual","P","positive","https://doi.org/10.1029/2005JD006810","https://doi.org/10.25921/h5hr-v562","12 - 0",4,"Layer Counting","Not Available",72.58,-37.63
"229","GIC","Lake31.Eisner.1995","lcR8K3KbvN8GOh5iSkH","Lake","Pollen (calibrated)","pollen","Annual","P","positive","https://doi.org/10.1006/qres.1995.1006","https://doi.pangaea.de/10.1594/PANGAEA.930512","5.8 - 0.6",170,"4","1850",67.05,-50.47
"230","GIC","MD99-2266.Moossen.2015","WEBbe8b843b","MarineSediment","Leaf Wax (δD)","dDwax","Summer","P","negative","https://doi.org/10.1016/j.quascirev.2015.10.013","www.ncdc.noaa.gov/paleo/study/20023","10.4 - 0.3",31,"22","2674",66.23,-23.27
"231","GIC","MD99-2266.Moossen.2015","WEB11e36a24","MarineSediment","Leaf Wax (δD)","dDwax","Summer","P","negative","https://doi.org/10.1016/j.quascirev.2015.10.013","www.ncdc.noaa.gov/paleo/study/20023","10.7 - 0.3",25,"22","2674",66.23,-23.27
"232","GIC","MD99-2266.Moossen.2015","WEBeac28b13","MarineSediment","Other (not calibrated)","pH","Summer","P","negative","https://doi.org/10.1016/j.quascirev.2015.10.013","www.ncdc.noaa.gov/paleo/study/20023","10.7 - 0.3",26,"22","2674",66.23,-23.27
"233","GIC","N14.Andresen.2004","GH77108454","LakeSediment","Other (not calibrated)","BSi","Annual","P","positive","https://doi.org/10.1002/jqs.886","https://www.ncei.noaa.gov/access/paleo-search/study/23084","12 - 0.5",28,"Not Available","Not Available",59.98,-44.18
"234","GIC","NEEM.Rasmussen.2013","WEB29098c59","GlacierIce","Glacier Ice (Accumulation)","ice accumulation","Annual","P","positive","https://doi.org/10.5194/cp-9-2713-2013","https://www.iceandclimate.nbi.ku.dk/data/","12 - 0",20,"Layer Counting","Not Available",77.45,-51.06
"235","GIC","NorthGRIP.Gkinis.2014","WEB4eba1170","GlacierIce","Glacier Ice (Accumulation)","ice accumulation","Annual","P","positive","https://doi.org/10.1016/j.epsl.2014.08.022","10.1594/PANGAEA.871563","12 - 0",4,"Layer Counting","Not Available",75.1,-42.32
"236","MDG","GIK16163-2.Ma.2021","WEBb00c1138","MarineSediment","Other (not calibrated)","d18O","Annual","P","negative","https://doi.org/10.1016/j.epsl.2021.117148","https://doi.org/10.1594/PANGAEA.937417","12 - 1.4",236,"6","3110",-14.75,45.99
"237","MDG","GIK16166-2.Ma.2021","WEB19b9d003","MarineSediment","Other (not calibrated)","d18O","Annual","P","negative","https://doi.org/10.1016/j.epsl.2021.117148","https://doi.org/10.1594/PANGAEA.937417","0 - 0",0,"6","2755",-15.27,45.68
"238","MED","AyoodeVidriales.MoralesMolino.2014","lcRXz9wnygIFdmBJCJe","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Morales-Molino, C. and Garcia-Anton, M., 2014. Vegetation and fire history since the last glacial maximum in an inland area of the western Mediterranean Basin (Northern Iberian Plateau, NW Spain). Quaternary Research, 81(1), pp.63-77.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.8 - 0",160,"9","2650",42.13,-6.07
"239","MED","BivierediGela.Colombaroli.2009","lcRvxK7zhrGHqqmmSr5","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Colombaroli, D., Tinner, W., Van Leeuwen, J., Noti, R., Vescovi, E., Vanniere, B., Magny, M., Schmidt, R. and Bugmann, H., 2009. Response of broadleaved evergreen Mediterranean forest vegetation to fire disturbance during the Holocene: insights from the peri-Adriatic region. Journal of Biogeography, 36(2), pp.314-326.","https://doi.pangaea.de/10.1594/PANGAEA.930512","7.5 - 0",60,"6","1660",37.02,14.34
"240","MED","BucadellaRenella.Drysdale.2006","S2LRNh2zmbQt44","Speleothem","Speleothem (δ18O)","d18O","Summer","P-E","negative","https://doi.org/10.1130/g22103.1","http://dx.doi.org/10.17864/1947.256","7.3 - 1",8,"12","930",44.08,10.21
"241","MED","BulgarianBlackSea.FilipovaMarinova.2014","lcRUewusWiI9G28ut2a","Ocean","Pollen (calibrated)","pollen","Annual","P","positive","Filipova-Marinova, M., Pavlov, D., Coolen, M., Giosan, L. and Vergiev, S., 2014. Contributions to the European Pollen Database. 22. Vegetation development in the central part of the Bulgarian Black Sea coast during the last 13 000 years. Grana, 53(3), pp.249-251.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0.1",230,"18","1890",42.47,28.41
"242","MED","BuracaGloriosa.Denniston.2017","S2LR419VKmTzO1","Speleothem","Speleothem (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.5194/cp-2017-146","http://dx.doi.org/10.17864/1947.256","12 - 1.3",12,"1","6056",39.53,-8.78
"243","MED","BuracaGloriosa.Denniston.2017","S2LRCWCwYqedVC","Speleothem","Speleothem (δ13C)","d13C","Annual","P-E","negative","https://doi.org/10.5194/cp-2017-146","http://dx.doi.org/10.17864/1947.256","12 - 1.3",12,"1","6056",39.53,-8.78
"244","MED","Chaaracave.AitBrahim.2018","S2LRU6xGJ9gjMj","Speleothem","Speleothem (δ18O)","d18O","Winter","P-E","negative","https://doi.org/10.1038/s41598-018-35498-x","http://dx.doi.org/10.17864/1947.256","9.7 - 0",11,"44","1151.52307184",33.96,-4.25
"245","MED","Chaaracave.AitBrahim.2018","S2LROeXqCyQIUp","Speleothem","Speleothem (δ18O)","d18O","Winter","P-E","negative","https://doi.org/10.1038/s41598-018-35498-x","http://dx.doi.org/10.17864/1947.256","11.6 - 0",6,"42","810.0016915",33.96,-4.25
"246","MED","CharcodaCandieira.VanderKnaap.1984","lcRz2jklJHwfxKMvv1z","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Van der Knaap, W.O. and van Leeuwen, J., 1994. Holocene vegetation, human impact, and climatic change in the Serra da Estrela, Portugal. Dissertationes Botanicae, 234, pp.497-535.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0",50,"22","990",40.34,-7.58
"247","MED","ColdesLauzes.deBeaulieu.1977","lcRScfMGWPopcFlEwve","Lake","Pollen (calibrated)","pollen","Annual","P","positive","de Beaulieu, J.L., 1977. Contribution pollenanalytique a l'histoire tardiglaciaire et Holocene de la vegetation des Alpes meridionales francaices. Doctoral dissertation. Universite d'Aix-Marseille, Marseille, France.","https://doi.pangaea.de/10.1594/PANGAEA.930512","12 - 0.2",120,"6","3270",44.77,6.54
"248","MED","Corchia.Regattieri.2014","WEB5f442d8b","Speleothem","Speleothem (other)","trace element / CA","Annual","P-E","negative","https://doi.org/10.1002/jqs.2712","https://doi.org/10.1002/jqs.2712","12 - 0.5",10,"16","1730",43.98,10.22
"249","MED","CovadaArcoia.Railsback.2011","S2LRP1bVgbttoT","Speleothem","Speleothem (δ13C)","d13C","Annual","P-E","negative","https://doi.org/10.1016/j.palaeo.2011.02.030","http://dx.doi.org/10.17864/1947.256","9.4 - 0.3",57,"16","1130",42.61,-7.09
"250","MED","CuevadeAsiul.Smith.2016","S2LR9ZYusd9uRM","Speleothem","Speleothem (δ18O)","d18O","Winter","P","negative","https://doi.org/10.1038/srep24745","http://dx.doi.org/10.17864/1947.256","12 - 0.5",3,"9","3806",43.32,-3.59
"251","MED","CuevadeAsiul.Smith.2016","S2LR8y2zPv8frL","Speleothem","Speleothem (δ18O)","d18O","Winter","P","negative","https://doi.org/10.1038/srep24745","http://dx.doi.org/10.17864/1947.256","7.8 - 0",6,"12","2092",43.32,-3.59
"252","MED","CuevaVictoria.Budsky.2019","S2LR64Q0qhBLAC","Speleothem","Speleothem (δ13C)","d13C","Summer","P-E","negative","https://doi.org/10.1177/0959683619838021","http://dx.doi.org/10.17864/1947.256","12 - 7",22,"14","4119.78476",37.63,-0.82
"253","MED","DP30PC.Goudeau.2014","WEB11f584ef","MarineSediment","Other (not calibrated)","Ca/Ti","Annual","P","negative","https://doi.org/10.1016/j.margeo.2013.12.003","https://doi.org/10.1594/PANGAEA.825342","12 - 0",22,"8","2314",39.83,17.8
"254","MED","ElMaillomire.MoralesMolino.2013","lcRYHQZme5i2N0fBzz0","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Morales-Molino, C., Garcia-Anton, M., Postigo-Mijarra, J.M. and Morla, C., 2013. Holocene vegetation, fire and climate interactions on the westernmost fringe of the Mediterranean Basin. Quaternary Science Reviews, 59, pp.5-17.","https://doi.pangaea.de/10.1594/PANGAEA.930512","10.6 - 0",70,"9","3600",40.55,-6.21
"255","MED","ElSoplaocave.Rossi.2018","S2LRIixYo5wDj1","Speleothem","Speleothem (δ18O)","d18O","Annual","P","negative","https://doi.org/10.1016/j.quascirev.2018.05.025","http://dx.doi.org/10.17864/1947.256","12 - 8",13,"Not Available","Not Available",43.3,-4.39
"256","MED","Embouchac.Puertas.1997","lcRhScBDOfWzXEnwp1A","Lagoon","Pollen (calibrated)","pollen","Annual","P","positive","Puertas, O., 1997. Evolution de la vegetation depuis le Dryas recent dans la plaine littorale de Montpellier (Herault, France) a partir de l'analyse pollinique. Dynamique naturelle et anthropisation du milieu. Doctoral dissertation. Universite de Franche-Comte, Besancon, France.","https://doi.pangaea.de/10.1594/PANGAEA.930512","9.6 - 1.5",40,"5","3360",43.57,3.92
"257","MED","GeoB7702-3.Castaneda.2016","LPD17ad91b2","MarineSediment","Other (not calibrated)","d13C","Annual","P-E","negative","https://doi.org/10.1016/j.epsl.2015.12.014","https://doi.org/10.1594/PANGAEA.858559","12 - 0.1",193,"9","2245",31.65,34.07
"258","MED","GeoB7702-3.Castaneda.2016","LPD277e0621","MarineSediment","Other (not calibrated)","pH","Annual","P-E","negative","https://doi.org/10.1016/j.epsl.2015.12.014","https://doi.org/10.1594/PANGAEA.858559","12 - 0.1",192,"9","2245",31.65,34.07
"259","MED","GeoB7702-3.Castaneda.2016","WEB279cd5b2","MarineSediment","Other (not calibrated)","Magnetic Susceptibility","Annual","P","positive","https://doi.org/10.1016/j.epsl.2015.12.014","https://doi.org/10.1594/PANGAEA.858559","12 - 0.1",38,"9","2245",31.65,34.07
"260","MED","Golhisar.Eastwood.2007","WEB488f78ac","LakeSediment","Lake Sediment (δ18O)","d18O","Annual","P-E","negative","https://doi.org/10.1002/jqs.1062","https://www.ncei.noaa.gov/access/paleo-search/study/24450","10.6 - 0.3",74,"8","1954",37.12,29.6
"261","MED","GrottedePiste.AitBrahim.2018","S2LRUj7txiX4BK","Speleothem","Speleothem (δ18O)","d18O","Winter","P-E","negative","https://doi.org/10.1038/s41598-018-35498-x","http://dx.doi.org/10.17864/1947.256","11.4 - 0",11,"42","1350.22560806",33.95,-4.25
"262","MED","HalosI.Bottema.1988","lcR9Wrg5WflyKPDn0gq","Peat","Pollen (calibrated)","pollen","Annual","P","positive","Bottema, S., 1988. A reconstruction of the Halos environment on the basis of palynological information. In: New Halos: a Hellenistic town in Thessalia, Greece ed. by H.R. Reinders (pp.216-226). H&S Publishers, Utrecht, The Netherlands.","https://doi.pangaea.de/10.1594/PANGAEA.930512","8.4 - 0.6",200,"4","2880",39.16,22.84
"263","MED","Jeitacave.Cheng.2015","S2LRd51WDgJNht","Speleothem","Speleothem (δ13C)","d13C","Annual","P-E","negative","https://doi.org/10.1002/2015gl065397","http://dx.doi.org/10.17864/1947.256","12 - 0.4",5,"68","571",33.95,35.65
"264","MED","Karacacave.Rowe.2012","S2LRqRNA3Q5i5b","Speleothem","Speleothem (δ18O)","d18O","Winter","P","negative","https://doi.org/10.1016/j.quascirev.2012.04.013","http://dx.doi.org/10.17864/1947.256","12 - 5.9",114,"5","3169",40.54,39.4
"265","MED","KoycegizGolu.vanZeist.1975","lcRY9JluMsRhPsnGrPq","Lake","Pollen (calibrated)","pollen","Annual","P","positive","van Zeist, W., Woldring, H. and Stapert, D., 1975. Late Quaternary vegetation and climate of southwestern Turkey. Palaeohistoria, 17, pp.53-143.","https://doi.pangaea.de/10.1594/PANGAEA.930512","5.2 - 0",90,"2","2760",36.88,28.64
"266","MED","LacdesGrenouilles.Finsinger.2020","lcRKSi9CEIDrCS6N9y5","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Finsinger, W., Vanel, Q., Ribolini, A. and Tinner, W., 2020. Early to late Holocene vegetation and fire dynamics at the treeline in the Maritime Alps. Vegetation History and Archaeobotany, 13, pp.1-18.","https://doi.pangaea.de/10.1594/PANGAEA.930512","11.2 - 3",75,"10","1790",44.1,7.48
"267","MED","LacduLauzon.Argant.2000","lcROpAQxk5Ao0bN7OYy","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Argant, J. and Argant, A., 2000. Mise en evidence de l'occupation ancienne d'un site d'altitude: analyse pollinique du lac du Lauzon (Drome). Geologie Alpine, 31, pp.61-71 (in French).","https://doi.pangaea.de/10.1594/PANGAEA.930512","7.9 - 0.7",100,"4","2520",44.68,5.79
"268","MED","LakeVarna.FilipovaMarinova.2016","lcR1swPAuEHYu5rmwNE","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Bozilova, E. and Beug, H.J., 1994. Studies on the vegetation history of Lake Varna region, northern Black Sea coastal area of Bulgaria. Vegetation History and Archaeobotany, 3(3), pp.143-154.","https://doi.pangaea.de/10.1594/PANGAEA.930512","8 - 0",110,"6","3230",43.2,27.83
"269","MED","LakeVoulkaria.Jahns.2005","lcR92SM1LEHTVnz3T6Q","Lake","Pollen (calibrated)","pollen","Annual","P","positive","Jahns, S., 2005. The Holocene history of vegetation and settlement at the coastal site of Lake Voulkaria in Acarnania, western Greece. Vegetation History and Archaeobotany, 14(1), pp.55-66.","https://doi.pangaea.de/10.1594/PANGAEA.930512","10.1 - 0",60,"12","2000",38.87,20.83
